Ducati Marlboro Team;Ducati;Casey Stoner;1;Marco Melandri;33
Fiat Yamaha Team;Yamaha;Valentino Rossi;46;Jorge Lorenzo;48
Repsol Honda Team;Honda;Daniel Pedrosa;26;Nicky Hayden;69
Team Alice;Ducati;Tony Elias;24;Sylvain Guintoli;50
Honda Gresini;Honda;Shinya Nakano;56;Alex De Angelis;3
Yamaha Tech 3;Yamaha;Colin Edwards;5;James Toseland;52
Rizla Suzuki MotoGP;Suzuki;Chris Vermeulen;7;Loris Capirossi;65
Kawasaki Racing Team;Kavasaki;John Hopkins;21;Anthony West;13
Honda LCR;Honda;Randy De Puniet;14; ;0
Jir Scot Team;Honda;Andrea Dovizioso;3; ;0
